Side,Instrument,Amount,Value,Price,Price (USD),IV,Type,Order ID,Und. Mark,Trade ID,Fees,Index,Date
sell,BTC-PERPETUAL,50,0.001681068,29743,29743,,market,16769787901,,172682235,0.00000084,29727.59,7/18/23 19:51
buy,BTC-PERPETUAL,50,0.00168104,29743.5,29743.5,,market,16769787860,,172682233,0.00000084,29727.59,7/18/23 19:51
sell,BTC-PERPETUAL,50,0.001681068,29743,29743,,market,16769783366,,172682096,0.00000084,29727.46,7/18/23 19:51
buy,BTC-PERPETUAL,50,0.00168104,29743.5,29743.5,,market,16769783334,,172682094,0.00000084,29727.5,7/18/23 19:51
sell,BTC-PERPETUAL,50,0.001681068,29743,29743,,market,16769778420,,172681937,0.00000084,29730.43,7/18/23 19:50
buy,BTC-PERPETUAL,50,0.00168104,29743.5,29743.5,,market,16769778377,,172681935,0.00000084,29729.7,7/18/23 19:50
sell,BTC-PERPETUAL,50,0.001681068,29743,29743,,market,16769773654,,172681786,0.00000084,29731.84,7/18/23 19:50
buy,BTC-PERPETUAL,50,0.00168104,29743.5,29743.5,,market,16769773626,,172681785,0.00000084,29731.84,7/18/23 19:50
sell,BTC-PERPETUAL,50,0.001681068,29743,29743,,market,16769768515,,172681563,0.00000084,29728.49,7/18/23 19:49
buy,BTC-PERPETUAL,50,0.00168104,29743.5,29743.5,,market,16769768493,,172681562,0.00000084,29728.49,7/18/23 19:49
sell,BTC-PERPETUAL,50,0.00168087,29746.5,29746.5,,market,16769763637,,172681350,0.00000084,29728.15,7/18/23 19:49
buy,BTC-PERPETUAL,50,0.001680842,29747,29747,,market,16769763596,,172681349,0.00000084,29728.15,7/18/23 19:49
sell,BTC-PERPETUAL,50,0.001680446,29754,29754,,market,16769758349,,172681148,0.00000084,29741.82,7/18/23 19:48
buy,BTC-PERPETUAL,50,0.001680418,29754.5,29754.5,,market,16769758314,,172681146,0.00000084,29741.82,7/18/23 19:48
sell,BTC-PERPETUAL,50,0.001680757,29748.5,29748.5,,market,16769752863,,172680924,0.00000084,29731.88,7/18/23 19:48
buy,BTC-PERPETUAL,50,0.001680729,29749,29749,,market,16769752815,,172680923,0.00000084,29731.88,7/18/23 19:48
sell,BTC-PERPETUAL,50,0.001680192,29758.5,29758.5,,market,16769747606,,172680709,0.00000084,29740.19,7/18/23 19:47
buy,BTC-PERPETUAL,50,0.001680164,29759,29759,,market,16769747540,,172680707,0.00000084,29738.13,7/18/23 19:47
sell,BTC-PERPETUAL,50,0.001679995,29762,29762,,market,16769742265,,172680541,0.00000084,29747.64,7/18/23 19:47
