Side,Instrument,Amount,Value,Price,Price (USD),IV,Type,Order ID,Und. Mark,Trade ID,Fees,Index,Date
sell,BTC-PERPETUAL,50,0.001681067814275628,29743,29743.0,,market,16769787901,,172682235,0.00000084,29727.59,18 Jul 2023 19:51:48
buy,BTC-PERPETUAL,50,0.0016810395548607258,29743.5,29743.5,,market,16769787860,,172682233,0.00000084,29727.59,18 Jul 2023 19:51:47
sell,BTC-PERPETUAL,50,0.001681067814275628,29743,29743.0,,market,16769783366,,172682096,0.00000084,29727.46,18 Jul 2023 19:51:17
buy,BTC-PERPETUAL,50,0.0016810395548607258,29743.5,29743.5,,market,16769783334,,172682094,0.00000084,29727.5,18 Jul 2023 19:51:17
sell,BTC-PERPETUAL,50,0.001681067814275628,29743,29743.0,,market,16769778420,,172681937,0.00000084,29730.43,18 Jul 2023 19:50:47
buy,BTC-PERPETUAL,50,0.0016810395548607258,29743.5,29743.5,,market,16769778377,,172681935,0.00000084,29729.7,18 Jul 2023 19:50:47
sell,BTC-PERPETUAL,50,0.001681067814275628,29743,29743.0,,market,16769773654,,172681786,0.00000084,29731.84,18 Jul 2023 19:50:17
buy,BTC-PERPETUAL,50,0.0016810395548607258,29743.5,29743.5,,market,16769773626,,172681785,0.00000084,29731.84,18 Jul 2023 19:50:16
sell,BTC-PERPETUAL,50,0.001681067814275628,29743,29743.0,,market,16769768515,,172681563,0.00000084,29728.49,18 Jul 2023 19:49:46
buy,BTC-PERPETUAL,50,0.0016810395548607258,29743.5,29743.5,,market,16769768493,,172681562,0.00000084,29728.49,18 Jul 2023 19:49:46
sell,BTC-PERPETUAL,50,0.0016808700183214831,29746.5,29746.5,,market,16769763637,,172681350,0.00000084,29728.15,18 Jul 2023 19:49:16
buy,BTC-PERPETUAL,50,0.0016808417655561905,29747,29747.0,,market,16769763596,,172681349,0.00000084,29728.15,18 Jul 2023 19:49:16
sell,BTC-PERPETUAL,50,0.0016804463265443301,29754,29754.0,,market,16769758349,,172681148,0.00000084,29741.82,18 Jul 2023 19:48:46
buy,BTC-PERPETUAL,50,0.0016804180880202995,29754.5,29754.5,,market,16769758314,,172681146,0.00000084,29741.82,18 Jul 2023 19:48:45
sell,BTC-PERPETUAL,50,0.0016807570129586365,29748.5,29748.5,,market,16769752863,,172680924,0.00000084,29731.88,18 Jul 2023 19:48:15
buy,BTC-PERPETUAL,50,0.001680728763992067,29749,29749.0,,market,16769752815,,172680923,0.00000084,29731.88,18 Jul 2023 19:48:15
sell,BTC-PERPETUAL,50,0.0016801922139892803,29758.5,29758.5,,market,16769747606,,172680709,0.00000084,29740.19,18 Jul 2023 19:47:45
